U18PRCS7P1 ,EE ,Project-I ,3,0,0,3,3
U18PCCS7L1 ,PC ,Big Data Analytics Lab ,0,0,4,4,2
U18MCAB713 ,MC ,Behavioral and interpersonal skills ,0,0,2,2,,0
U18MCAB714 ,MC ,Nature – Nature club ,0,0,2,2,,0
Semester 7
U18PECS8E3 ,PE ,Programme Elective-VI ,0,0,0,3,,3
U180ECS8E3 ,OE ,Open Elective-III ,3,0,0,3,,3
U180ECS8E4 ,OE ,Open Elective-IV (MOOC) ,2,0,0,2,,2
U18PRCS8P1 ,EE ,Project-II ,0,0,18,18,,9
U18MCAB815 ,MC ,Innovation – Project based – Sc Tech Social Design & Innovation,0,0,2,2,,0
Semester 8
